"","artist","genre","museums","born","firstName","nationality","medium","century"
"44","Michael Ancher","Impressionist","Funen Kunstmuseum, Hirschsprung Collection, Oglethorpe University Museum, Skagens Museum, Statens Museum for Kunst (National Gallery of Denmark), Danish Museums Online",1849,"Michael","Danish","Painter",18
"45","Kaigetsudo Anchi","Ukiyo-e","Art Institute of Chicago, Museum of Fine Arts",1700,"Kaigetsudo","Japanese","Printmaker",17
"46","Carlos Anderson","Scene","Art Institute of Chicago, National Gallery of Art, Smithsonian American Art Museum, Sheldon Museum of Art, Springville Museum of Art, U.S. Navy Art Collection",1905,"Carlos","American","Painter",19
"47","Sophie Anderson","Pre-Raphaelite","Birmingham Museums & Art Gallery, Le Musée Ingres, New Art Gallery, Art Fund for UK Museums, Smithsonian American Art Museum National Art Inventories",1823,"Sophie","French","Painter",18
"48","Carl Andre","Minimalist","Art Institute of Chicago, Dallas Museum of Art, Fine Arts Museums of San Francisco, Guggenheim Museum, Museum of Modern Art, National Gallery of Art, National Gallery of Australia, Norton Simon Museum, Peggy Guggenheim Collection, Smithsonian American Art Museum, Tate Gallery, Whitney Museum of American Art, Allen Art Museum at Oberlin College, Chinati Foundation, Hallen für neue Kunst, Harvard University Art Museums, Indianapolis Museum of Art, Kröller-Müller Museum, Kunsthalle Basel, Kunstmuseum Basel, Kunstmuseum Wolfsburg, Milwaukee Art Museum, Modern Art Museum of Fort Worth, Musée de Grenoble, Museum of Contemporary Art, Nasher Sculpture Center, Princeton University Art Museum, Pulitzer Foundation for the Arts, Reina Sofía National Museum, Royal Museums of Fine Arts of Belgium Catalogue, S.M.A.K. (Stedelijk Museum voor Actuele Kunst), Van Abbemuseum, Walker Art Center, Smithsonian American Art Museum National Art Inventories",1935,"Carl","American","Sculptor",19
"49","Zoan Andrea","Early Renaissance","Art Institute of Chicago, Fine Arts Museums of San Francisco, National Gallery of Art, Harvard University Art Museums, Philadelphia Museum of Art, Whitworth Art Gallery",1475,"Zoan","Italian","Painter",14
"50","Andrea del Brescianino","High Renaissance","National Gallery, Ashmolean Museum at the University of Oxford, Block Museum of Art at Northwestern University, State Museums of Florence Digital Archive, The Walters Art Museum",1487,"Andrea","Italian","Painter",14
"51","Andrea da Firenze","Gothic Era","National Gallery, Courtauld Institute of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark)",1343,"Andrea","Italian","Painter",13
"52","Andrea del Sarto","High Renaissance","Art Institute of Chicago, Art Institute of Chicago, Fine Arts Museums of San Francisco, Hermitage Museum, J. Paul Getty Museum, Kunsthistorisches Museum Databank, Louvre Museum, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , Museum of Fine Arts, National Galleries of Scotland, National Gallery, National Gallery of Art, National Gallery of Canada, Prado Museum Database, Rijksmuseum, The Royal Collection, Ashmolean Museum at the University of Oxford, Bob Jones University Museum & Gallery, Cleveland Museum of Art, Courtauld Institute of Art, Dulwich Picture Gallery, Harvard University Art Museums, Le Musée Ingres, Museum Kunst Palast, National Gallery of Australia, North Carolina Museum of Art, Philadelphia Museum of Art, State Museums of Florence Digital Archive, Statens Museum for Kunst (National Gallery of Denmark), The Albertina Graphic Art Databank, The British Museum, The Wallace Collection, The Walters Art Museum, Virtual Uffizi, Virtual Uffizi, Worcester Art Museum, Art Fund for UK Museums, Joconde Database of French Museum Collections",1486,"Andrea","Italian","Painter",14
"53","Andrea del Castagno","Early Renaissance","National Galleries of Scotland, National Gallery of Art, State Museums of Florence Digital Archive, Virtual Uffizi",1423,"Andrea","Italian","Painter",14
"54","Andrea di Bartolo","Early Renaissance","Fine Arts Museums of San Francisco, Metropolitan Museum of Art, National Gallery of Art, Princeton University Art Museum, Ashmolean Museum at the University of Oxford, Brooklyn Museum, Frick Collection, Galleria G. Franchetti alla Ca' d'Oro, Museo Diocesano di Milan, Philadelphia Museum of Art, Pinacoteca Nazionale di Bologna, The Walters Art Museum, Thyssen-Bornemisza Museum, Virginia Museum of Fine Arts, UK National Inventory of Continental European Paintings (NICE)",1389,"Andrea","Italian","Painter",13
"55","Andrea di Vanni d'Andrea","Byzantine Style","Fitzwilliam Museum at the University of Cambridge, Kress Foundation Collection, National Gallery of Art, Bonnefanten Museum, Corcoran Gallery of Art, Pomona College Museum of Art, State Museums of Florence Digital Archive, Art Fund for UK Museums",1332,"Andrea","Italian","Painter",13
"56","Giuseppe Angeli","Baroque Era","Art Institute of Chicago, Drawings from the Biblioteca Ambrosiana, Fine Arts Museums of San Francisco, Hermitage Museum, Kress Foundation Collection, National Gallery of Art, Courtauld Institute of Art, Harvard University Art Museums, State Museums of Florence Digital Archive, Joconde Database of French Museum Collections",1712,"Giuseppe","Italian","Painter",17
"57","Fra Angelico","Early Renaissance","Alte Pinakothek, Art Institute of Chicago, Detroit Institute of Arts, Fine Arts Museums of San Francisco, Hermitage Museum, J. Paul Getty Museum, Kress Foundation Collection, Louvre Museum, Louvre Museum Database, Louvre Museum Graphic Art Database, Metropolitan Museum of Art, Metropolitan Museum of Art , Museum of Fine Arts, National Gallery, National Gallery of Art, Norton Simon Museum, Prado Museum Database, Rijksmuseum, The Royal Collection, Vatican Museums, Yale University Art Gallery, Ashmolean Museum at the University of Oxford, Bowdoin College Museum of Art, Cleveland Museum of Art, Courtauld Institute of Art, Galleria Borghese, Harvard University Art Museums, Kimbell Art Museum, Minneapolis Institute of Arts, Museu Nacional d'Art de Catalunya, Philadelphia Museum of Art, Princeton University Art Museum, San Diego Museum of Art, St. Johnsbury Athenaeum, State Museums of Florence Digital Archive, Strossmayer's Old Master Gallery, The Albertina Graphic Art Databank, Thyssen-Bornemisza Museum, Virtual Uffizi, Art Fund for UK Museums, Flemish Art Collection Database, Joconde Database of French Museum Collections",1387,"Fra","Italian","Painter",13
"58","Charles Angrand","Pointillist","Art Institute of Chicago, Metropolitan Museum of Art , Musée d'Orsay, Musée d'Orsay, Museum of Fine Arts, Cleveland Museum of Art, Indianapolis Museum of Art, Statens Museum for Kunst (National Gallery of Denmark), Valtion Taidemuseo (Finnish National Gallery)",1854,"Charles","French","Painter",18
"59","François Anguier","Baroque Era","Francois Anguier at the Louvre Museum, Louvre Museum Database, The Wallace Collection, Joconde Database of French Museum Collections",1604,"François","French","Sculptor",16
