I/O,Date,Source (1),Source (2),Source Region,Vessel Name,Vessel Size (CBM),Destination (1),Destination (2),Destination (3),Destination (4),Destination (5),Primary Destination Country,Primary Destination Region,C2,C3,C4,iC4,Participant (1),Participant (2),Participant (3),Participant (4),Participant (5),Participant (6),Participant (7),Special Notes
Out of port,06/19/11,United States,"Galena Park, TX",North America,Navigator Saturn,"22,085",Latin America,,,,,,South America,0,"10,064",0,0,Targa Resources,,,,,,,
,06/19/11,Algeria,Bethioua,Mediterranean,Dynamic Energy,"82,488",Brazil,,,,,Brazil,South America,0,"45,000",0,0,SPC,Petrobras,,,,,,
,06/19/11,Venezuela,Jose,South America,Dancing Brave,"22,000",Coastal Venezuela,,,,,Venezuela,South America,0,"7,005","5,390",0,Pdvsa,,,,,,,
,06/19/11,Qatar,Ras Laffan,Middle East,G. Commander,"78,543",South Korea,Japan,,,,South Korea,Far East,0,"33,700","11,300",0,Tasweeq,Petredec,,,,,,
,06/19/11,Australia,Westernport,Australia,Jeanne-Marie,"78,500",Japan,,,,,Japan,Far East,0,"11,000","33,000",0,BHP,,,,,,,
,06/20/11,Algeria,Bethioua,Mediterranean,Rhourd El Hamra,"22,760",Tarragona,,,,,Spain,Mediterranean,0,"8,500",0,0,SPC,BASF,,,,,,
,06/20/11,Nigeria,,West Africa,Blue Gas,"4,000",Coastal Nigeria,,,,,Nigeria,West Africa,0,0,"1,700",0,PPMC,,,,,,,
,06/20/11,Trinidad,Point Lisas,Caribbean,Santa Clara B,"7,285",Caribbean,,,,,,Caribbean,0,0,"3,500",0,,,,,,,,
,06/20/11,Trinidad,Point Lisas,Caribbean,Windsor,"6,505",Caribbean,,,,,,Caribbean,0,0,"4,000",0,,,,,,,,
Out of port,06/20/11,United States,"Houston, TX",North America,Karoline N,"75,000",Ecuador,,,,,Ecuador,South America,0,"30,757","11,152",0,Enterprise,Trafigura,,,,,,
,06/20/11,Saudi Arabia,Ras Tanura,Middle East,DL Calla,"78,408",Japan,,,,,Japan,Far East,0,"35,829","11,895",0,Shell,Iwatani,Astomos,,,,,
,06/20/11,Iran,Assuleyah,Middle East,BW Captain,"78,530",Taiwan,China,,,,Taiwan,Far East,0,"32,148","12,121",0,NIOC,Vitol,Formosa Petrochemical,New Ocean,,,,
,06/20/11,Kuwait,Mina Al Ahmadi,Middle East,Maharshi Dattatreya,"24,131",India,,,,,India,India,0,0,"13,000",0,KPC,IOC,,,,,,
,06/20/11,Australia,Bayu Undan,Australia,JA Sunshine,"75,386",Far East,,,,,,Far East,0,"22,000","22,000",0,,,,,,,,
,06/20/11,Qatar,Ras Laffan,Middle East,Hisui,"80,000",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,Tasweeq,E1,,,,,,
,06/21/11,Venezuela,Jose,South America,Caribe,"20,902",Coastal Venezuela,,,,,Venezuela,South America,0,"8,857",0,0,Pdvsa,,,,,,,
Out of port,06/21/11,United States,"Galena Park, TX",North America,Navigator Mars,"22,085",Mediterranean,,,,,,Mediterranean,0,"11,272",0,0,Targa Resources,BP,Chemium,Nieto,,,,
,06/21/11,Norway,Mongstad,North Sea,BW Hedda,"35,058",Tees,,,,,United Kingdom,Northwest Europe,0,"20,000",0,0,Statoil,,,,,,,
,06/21/11,Saudi Arabia,Ras Tanura,Middle East,Mill Reef,"82,000",Japan,,,,,Japan,Far East,0,"26,398",0,0,Iwatani,Astomos,Zennoh,,,,,
,06/21/11,Norway,Kaarstoe,North Sea,Captain Nicholas ML,"82,000",Stenungsund,,,,,Sweden,Northwest Europe,0,"20,000","10,000",0,Statoil,,,,,,,
,06/21/11,Saudi Arabia,Ras Tanura,Middle East,Senna Jumbo,"75,000",Maldives,,,,,Maldives,Indian Ocean,0,"33,000","11,000",0,Petredec,,,,,,,
,06/22/11,Venezuela,Jose,South America,Immanuel Schulte,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,0,"9,294",0,Pdvsa,,,,,,,
,06/22/11,Qatar,Ras Laffan,Middle East,Toyosu Maru,"78,462",Japan,,,,,Japan,Far East,0,"33,700","11,300",0,Tasweeq,Astomos,,,,,,
,06/22/11,Algeria,Bethioua,Mediterranean,Berga II,"35,000",Egypt,,,,,Egypt,Mediterranean,0,0,"20,500",0,SPC,AMPTC,,,,,,
,06/22/11,Qatar,Ras Laffan,Middle East,Toyosu Maru,"78,462",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,Tasweeq,,,,,,,
,06/22/11,Saudi Arabia,Ras Tanura,Middle East,Maharshi Vamadeva,"57,214",India,,,,,India,India,0,"7,681","22,352",0,BPCL,E1,,,,,,
,06/22/11,United Arab Emirates,Ruwais,Middle East,Berge Nantong,"82,000",China,,,,,China,Far East,0,"23,500","23,500",0,Adnoc,Vitol,PTT,SK Gas,,,,
,06/22/11,Venezuela,Jose,South America,Churun Meru,"20,600",Coastal Venezuela,,,,,Venezuela,South America,0,0,0,"8,057",Pdvsa,,,,,,,
,06/23/11,Norway,Mongstad,North Sea,Prins Hendrik,"18,152",Pembroke,,,,,United Kingdom,Northwest Europe,0,0,"11,000",0,Statoil,,,,,,,
,06/23/11,United Arab Emirates,Ruwais,Middle East,Maharshi Bhavatreya,"35,639",India,,,,,India,India,0,0,"20,000",0,HPCL,,,,,,,
,06/23/11,Kuwait,Mina Al Ahmadi,Middle East,Gas Al Gurain,"78,475",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,KPC,,,,,,,
,06/23/11,Iran,Assuleyah,Middle East,Kobai,"82,000",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,SK Gas,,,,,,,
,06/24/11,Algeria,Bethioua,Mediterranean,Rhourd El Hamra,"22,760",Leghorn,,,,,Italy,Mediterranean,0,"8,200",0,0,SPC,Eni,,,,,,
,06/24/11,Nigeria,,West Africa,Navigator Taurus,"20,334",Undetermined,,,,,,,0,"12,000",0,0,,,,,,,,
,06/24/11,Saudi Arabia,Ras Tanura,Middle East,Yuyo,"83,070",Australia,,,,,Australia,Australia,0,"34,366","4,523",0,Eneos,E1,Cosmo,,,,,
,06/24/11,Algeria,Bethioua,Mediterranean,Clipper Orion,"60,000",West Africa,,,,,,West Africa,0,0,"17,000",0,SPC,Geogas,,,,,,
,06/24/11,United Arab Emirates,Ruwais,Middle East,Fritzi N,"82,000",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,Gunvor,,,,,,,
,06/24/11,Kuwait,Mina Al Ahmadi,Middle East,BW Kyoto,"84,000",Philippines,,,,,Philippines,Southeast Asia,0,"22,000","22,000",0,KPC,Shell,,,,,,
,06/24/11,Qatar,Ras Laffan,Middle East,Energy Orpheus,"78,498",South Korea,,,,,South Korea,Far East,0,"22,000","22,000",0,Tasweeq,Astomos,,,,,,
,06/25/11,Venezuela,Jose,South America,Navigator Gemini,"20,500",Coastal Venezuela,,,,,Venezuela,South America,0,"8,052",0,0,Pdvsa,,,,,,,
,06/25/11,Angola,Bioko Island,West Africa,BW Nantes,"59,343",Gijon,Tees,,,,Spain,Northwest Europe,0,"29,000",0,0,Geogas,Ryttsa,Sabic,,,,,
,06/25/11,Algeria,Bethioua,Mediterranean,Hassi Messaoud 2,"59,000",Brazil,,,,,Brazil,South America,0,"33,000",0,0,SPC,Petrobras,,,,,,
Out of port,06/25/11,United States,"Houston, TX",North America,BW Lord,"84,000",Mexico,,,,,Mexico,North America,0,"42,029",0,0,Enterprise,Petredec,Vitol,MGI,,,,
,06/25/11,Saudi Arabia,Ras Tanura,Middle East,Maharshi Devatreya,"35,639",India,,,,,India,India,0,0,"20,965",0,Sumitomo,E1,,,,,,
,06/25/11,Australia,Dampier,Australia,Kodaijisan,"82,258",Japan,,,,,Japan,Far East,0,"22,000","22,000",0,BHP,,,,,,,
,06/25/11,Qatar,Ras Laffan,Middle East,Devon,"80,199",India,,,,,India,India,0,"13,000","27,000",0,IOC,,,,,,,"STS Transfer w/ ""Yuricosmos"""
