"","PUMA","Year","X","VAL","HINCP","HHT_MDC","HHT_OF","HHT_NFLA","HHT_NFNLA","SEX_M","SEX_F","RACE_W","RACE_B","RACE_AI","RACE_AN","RACE_AIAN","RACE_A","RACE_PI","RACE_O","RACE_2M","EDU_NO","EDU_NOHS","EDU_HS","EDU_ALT","EDU_SC","EDU_AD","EDU_BD","EDU_MD","EDU_PD","EDU_DD","AGEP","PINCP","EDU_NONE","EDU_HSDIP","EDU_HIED"
"100","04013",2005,7,0,33,10,12,12,7,31,38,27,1,0,0,0,NA,NA,8,13,37,34,1,0,0,0,0,0,0,0,83,31,34,1,0
"101","04014",2005,7,0,23,12,11,7,4,41,41,33,2,1,0,0,NA,NA,8,15,56,39,0,0,0,0,0,0,0,0,71,16,40,0,0
"102","04015",2005,7,0,26,9,15,11,8,34,36,20,21,1,0,20,NA,NA,10,11,46,34,1,0,0,0,0,0,0,0,77,25,35,0,0
"103","04016",2005,7,0,31,12,11,9,5,37,39,33,2,1,0,0,NA,NA,3,8,36,38,1,0,0,0,0,0,0,0,83,24,39,0,0
"104","04017",2005,7,0,27,14,17,11,7,41,50,34,1,0,0,0,NA,NA,9,4,66,45,1,0,0,0,0,0,0,0,82,20,46,0,0
"105","04018",2005,7,0,19,7,13,8,3,22,27,17,6,9,0,0,NA,NA,5,2,20,24,0,0,0,0,0,0,0,0,90,18,25,0,0
"106","04101",2005,7,0,28,11,19,15,27,45,48,30,7,1,0,5,NA,NA,27,31,46,46,2,0,0,0,0,0,0,0,77,31,47,1,0
"107","04102",2005,7,0,30,8,18,7,12,37,38,19,8,8,0,40,NA,NA,42,23,52,37,1,0,0,0,0,0,0,0,73,25,38,0,0
"108","04103",2005,8,0,35,19,18,14,10,58,61,33,3,0,0,15,NA,NA,17,17,62,59,2,0,0,0,0,0,0,0,86,30,60,1,0
"109","04104",2005,8,0,49,12,8,7,4,33,34,21,1,3,0,0,NA,NA,4,16,20,34,1,0,0,0,0,0,0,0,87,39,34,1,0
"110","04105",2005,8,0,45,14,21,9,6,45,54,13,53,0,0,0,NA,NA,9,17,35,50,1,0,0,0,0,0,0,0,86,40,50,0,0
"111","04106",2005,8,0,36,11,12,10,5,35,37,18,10,1,0,0,NA,NA,12,18,29,36,2,0,0,0,0,0,0,0,83,37,36,1,0
"112","04107",2005,8,0,27,7,13,5,8,30,29,11,3,0,0,0,NA,NA,25,10,35,29,0,0,0,0,0,0,0,0,75,23,29,0,0
"113","04108",2005,8,0,37,10,8,13,6,28,32,21,1,0,0,0,NA,NA,6,7,25,30,2,0,0,0,0,0,0,0,88,42,30,1,0
"114","04109",2005,8,0,32,8,13,8,13,30,32,15,2,3,0,0,NA,NA,24,11,33,30,1,0,0,0,0,0,0,0,77,28,31,0,0
"115","04110",2005,8,0,35,14,20,10,10,45,48,40,1,1,0,0,NA,NA,24,4,47,46,0,0,0,0,0,0,0,0,80,31,47,0,0
"116","04111",2005,8,0,35,10,13,7,4,36,37,16,4,4,0,0,NA,NA,43,25,37,36,1,0,0,0,0,0,0,0,75,31,37,0,0
"117","04112",2005,8,0,32,10,34,8,6,47,56,3,69,13,0,30,NA,NA,31,33,52,51,0,0,0,0,0,0,0,0,76,25,52,0,0
"118","04113",2005,8,0,35,9,12,5,4,31,33,12,11,15,0,40,NA,NA,33,19,29,32,0,0,0,0,0,0,0,0,76,28,32,0,0
"119","04114",2005,8,0,32,5,12,6,3,21,26,12,19,1,0,20,NA,NA,5,3,26,23,0,0,0,0,0,0,0,0,75,29,23,0,0
"120","04201",2005,8,0,87,18,4,8,2,44,44,40,2,1,0,5,NA,NA,3,13,25,44,4,0,0,0,0,0,0,0,85,58,44,2,0
"121","04202",2005,8,0,74,17,8,7,7,43,44,40,1,0,0,10,NA,NA,5,8,32,43,3,0,0,0,0,0,0,0,84,59,43,2,0
"122","04203",2005,8,0,59,13,4,5,3,33,33,30,0,0,0,0,NA,NA,2,5,25,33,1,0,0,0,0,0,0,0,84,44,33,1,0
"123","04204",2005,9,0,53,11,9,5,5,33,34,25,3,1,0,0,NA,NA,8,13,28,34,1,0,0,0,0,0,0,0,82,46,34,1,0
"124","04205",2005,9,0,58,13,8,4,3,36,39,30,10,0,0,0,NA,NA,8,11,33,38,1,0,0,0,0,0,0,0,80,39,38,1,0
"125","04206",2005,9,0,38,6,16,5,4,27,31,10,30,0,0,0,NA,NA,15,17,23,29,1,0,0,0,0,0,0,0,75,35,29,0,0
"126","04207",2005,9,0,56,12,9,5,3,32,35,31,1,0,0,0,NA,NA,4,8,20,34,1,0,0,0,0,0,0,0,83,45,34,1,0
"127","04208",2005,9,0,58,12,7,4,3,32,33,33,0,0,0,0,NA,NA,0,4,34,33,0,0,0,0,0,0,0,0,81,46,33,0,0
"128","04209",2005,9,0,66,12,6,3,3,30,30,30,1,7,0,0,NA,NA,2,5,20,30,1,0,0,0,0,0,0,0,83,44,30,0,0
"129","04210",2005,9,0,58,11,6,5,5,28,31,27,3,1,0,0,NA,NA,7,7,11,30,1,0,0,0,0,0,0,0,84,52,30,1,0
"130","04211",2005,9,0,50,10,7,4,3,28,31,22,7,3,0,0,NA,NA,9,15,16,30,1,0,0,0,0,0,0,0,84,40,30,0,0
"131","04212",2005,9,0,61,11,7,6,6,31,31,28,4,0,0,15,NA,NA,7,10,17,31,1,0,0,0,0,0,0,0,83,46,31,1,0
"132","04301",2005,9,0,67,25,12,9,10,63,67,61,3,3,0,5,NA,NA,6,13,60,64,4,0,0,0,0,0,0,0,80,54,65,2,0
"133","04302",2005,9,0,71,17,7,5,5,41,43,42,0,3,0,5,NA,NA,1,3,40,42,2,0,0,0,0,0,0,0,79,54,42,1,0
