"OPEID","Name","Address","City","State","State Desc","Zip Code","Zip Ext","Program Length","Sch Type","Year 1","Num 1","Denom 1","DRate 1","PRate 1","Ethnic Code","Cong Dis","Region","Average or Greater Than 30","Year 2","Num 2","Denom 2","DRate 2","PRate 2","Year 3","Num 3","Denom 3","DRate 3","PRate 3"
"001099","HENDRIX COLLEGE","1600 WASHINGTON AVENUE","CONWAY","AR","ARKANSAS","72032","3080","8","2","2012","13","267","4.8","A","5","02","06","0","2011","16","239","6.6","A","2010","15","193","7.7","A"
"001100","JOHN BROWN UNIVERSITY","2000 WEST UNIVERSITY STREET","SILOAM SPRINGS","AR","ARKANSAS","72761","2747","8","2","2012","20","644","3.1","A","5","03","06","0","2011","29","595","4.8","A","2010","21","553","3.7","A"
"001101","UNIVERSITY OF ARKANSAS AT LITTLE ROCK","2801 SOUTH UNIVERSITY","LITTLE ROCK","AR","ARKANSAS","72204","1099","8","1","2012","289","3353","8.6","A","5","02","06","0","2011","358","3385","10.5","A","2010","465","2979","15.6","A"
"001102","OUACHITA BAPTIST UNIVERSITY","410 OUACHITA DRIVE","ARKADELPHIA","AR","ARKANSAS","71998","0001","6","2","2012","20","290","6.8","A","5","04","06","0","2011","18","271","6.6","A","2010","25","242","10.3","A"
"001103","PHILANDER SMITH COLLEGE","900 WEST DAISY GASTON BATES DRIVE","LITTLE ROCK","AR","ARKANSAS","72202","3718","6","2","2012","41","262","15.6","A","2","02","06","0","2011","42","256","16.4","A","2010","44","216","20.3","A"
"001104","PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","1000 CAMPUS DRIVE","HELENA","AR","ARKANSAS","72342","0000","5","1","2012","15","88","17","A","5","01","06","0","2011","20","113","17.6","A","2010","32","97","32.9","A"
"001105","SHORTER COLLEGE","604 LOCUST STREET","NORTH LITTLE ROCK","AR","ARKANSAS","72114","4885","5","2","2012","N/A","N/A","N/A","A","2","02","06","0","2011","N/A","N/A","N/A","A","2010","N/A","N/A","N/A","A"
"001106","WILLIAMS BAPTIST COLLEGE","60 W. FULLBRIGHT AVENUE","WALNUT RIDGE","AR","ARKANSAS","72476","4661","6","2","2012","16","178","8.9","A","5","01","06","0","2011","20","156","12.8","A","2010","12","155","7.7","A"
"001107","SOUTHERN ARKANSAS UNIVERSITY","100 EAST UNIVERSITY","MAGNOLIA","AR","ARKANSAS","71753","5000","8","1","2012","170","943","18","A","5","04","06","0","2011","160","880","18.1","A","2010","149","744","20","A"
"001108","UNIVERSITY OF ARKANSAS","425 ADMINISTRATION BUILDING","FAYETTEVILLE","AR","ARKANSAS","72701","0000","8","1","2012","220","3460","6.3","P","5","03","06","0","2011","206","3071","6.7","P","2010","229","2805","8.1","P"
"001109","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES","4301 WEST MARKHAM STREET           SLOT 864","LITTLE ROCK","AR","ARKANSAS","72205","7102","8","1","2012","9","759","1.1","P","5","02","06","0","2011","26","787","3.3","P","2010","32","678","4.7","P"
"001110","UNIVERSITY OF ARKANSAS AT FORT SMITH","5210 GRAND AVENUE","FORT SMITH","AR","ARKANSAS","72904","7397","6","1","2012","348","1710","20.3","A","5","03","06","0","2011","413","1645","25.1","A","2010","292","1317","22.1","A"
"001111","ALLAN HANCOCK COLLEGE","800 SOUTH COLLEGE DRIVE","SANTA MARIA","CA","CALIFORNIA","93454","6399","5","1","2012","28","114","24.5","A","3","23","09","0","2011","24","86","27.9","A","2010","17","77","22","A"
"001113","ANTELOPE VALLEY COLLEGE","3041 WEST AVENUE K","LANCASTER","CA","CALIFORNIA","93536","5426","5","1","2012","428","1634","26.1","A","5","22","09","0","2011","367","1361","26.9","A","2010","425","1303","32.6","A"
"001116","ART CENTER COLLEGE OF DESIGN","1700 LIDA STREET","PASADENA","CA","CALIFORNIA","91103","1999","8","2","2012","15","462","3.2","A","5","29","09","0","2011","31","425","7.2","A","2010","34","409","8.3","A"
"001117","AZUSA PACIFIC UNIVERSITY","901 EAST ALOSTA AVENUE","AZUSA","CA","CALIFORNIA","91702","7000","8","2","2012","103","2857","3.6","A","5","32","09","0","2011","111","2643","4.1","A","2010","105","2656","3.9","A"
"001118","BAKERSFIELD COLLEGE","1801 PANORAMA DRIVE","BAKERSFIELD","CA","CALIFORNIA","93305","1299","5","1","2012","133","623","21.3","A","3","22","09","0","2011","142","512","27.7","A","2010","124","413","30","A"
"001119","BARSTOW COMMUNITY COLLEGE","2700 BARSTOW ROAD","BARSTOW","CA","CALIFORNIA","92311","6608","5","1","2012","N/A","N/A","N/A","A","5","25","09","0","2011","N/A","N/A","N/A","A","2010","N/A","N/A","N/A","A"
"001120","AMERICAN BAPTIST SEMINARY OF THE WEST","2606 DWIGHT WAY","BERKELEY","CA","CALIFORNIA","94704","3029","8","2","2012","9","41","21.9","P","5","09","09","0","2011","6","36","16.6","P","2010","N/A","N/A","N/A","P"
"001122","BIOLA UNIVERSITY","13800 BIOLA AVENUE","LA MIRADA","CA","CALIFORNIA","90639","0001","8","2","2012","31","1357","2.2","A","5","39","09","0","2011","30","1335","2.2","A","2010","33","1147","2.8","A"
